Logging to logs-robot\PPO_17
---------------------------------
| rollout/           |          |
|    time_elapsed         | 1027        |
|    total_timesteps      | 21504       |
| train/                  |             |
|    approx_kl            | 0.006695714 |
|    clip_fraction        | 0.0312      |
|    clip_range           | 0.15        |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.101       |
|    learning_rate        | 0.00025     |
|    loss                 | 1.54        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.000807   |
|    value_loss           | 3.98        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | -4.73       |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 22          |
|    time_elapsed         | 1067        |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.007972205 |
|    clip_fraction        | 0.0852      |
|    clip_range           | 0.15        |
|    entropy_loss         | -1.06       |
|    explained_variance   | 0.209       |
|    learning_rate        | 0.00025     |
|    loss                 | 1.94        |
|    n_updates            | 84          |
|    policy_gradient_loss | -0.00248    |
|    value_loss           | 4.68        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 162          |
|    ep_rew_mean          | -4.54        |
| time/                   |              |
|    fps                  | 21           |
|    iterations           | 23           |
|    time_elapsed         | 1107         |
|    total_timesteps      | 23552        |
| train/                  |              |
|    approx_kl            | 0.0049861195 |
|    clip_fraction        | 0.0708       |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.02        |
|    explained_variance   | 0.466        |
|    learning_rate        | 0.00025      |
|    loss                 | 1.13         |
|    n_updates            | 88           |
|    policy_gradient_loss | -0.0019      |
|    value_loss           | 2.77         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | -4.3        |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 24          |
|    time_elapsed         | 1146        |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.004466571 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.15        |
|    entropy_loss         | -1.02       |
|    explained_variance   | 0.0193      |
|    learning_rate        | 0.00025     |
|    loss                 | 1.76        |
|    n_updates            | 92          |
|    policy_gradient_loss | -0.00267    |
|    value_loss           | 3.83        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 169          |
|    ep_rew_mean          | -4.11        |
| time/                   |              |
|    fps                  | 21           |
|    iterations           | 25           |
|    time_elapsed         | 1184         |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0021960754 |
|    clip_fraction        | 0.00195      |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.05        |
|    explained_variance   | -0.183       |
|    learning_rate        | 0.00025      |
|    loss                 | 0.614        |
|    n_updates            | 96           |
|    policy_gradient_loss | 0.000675     |
|    value_loss           | 0.972        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 159          |
|    ep_rew_mean          | -2.64        |
| time/                   |              |
|    fps                  | 21           |
|    iterations           | 26           |
|    time_elapsed         | 1226         |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0128807295 |
|    clip_fraction        | 0.176        |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.02        |
|    explained_variance   | 0.3          |
|    learning_rate        | 0.00025      |
|    loss                 | 0.995        |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00124     |
|    value_loss           | 2.32         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 166          |
|    ep_rew_mean          | -2.7         |
| time/                   |              |
|    fps                  | 21           |
|    iterations           | 27           |
|    time_elapsed         | 1294         |
|    total_timesteps      | 27648        |
| train/                  |              |
|    approx_kl            | 0.0037481263 |
|    clip_fraction        | 0.073        |
|    clip_range           | 0.15         |
|    entropy_loss         | -1.04        |
|    explained_variance   | 0.295        |
|    learning_rate        | 0.00025      |
|    loss                 | 1.67         |
|    n_updates            | 104          |
|    policy_gradient_loss | 0.00159      |
|    value_loss           | 4.06         |
------------------------------------------
